,SKU,Produto,Quantidade,Data,Loja,Valor Unitário,Unnamed: 6
5,HL8851,Notebook,1,6/10/2023,Curitiba,3500,
17,HL2714,Tablet,1,8/5/2023,Curitiba,1600,
22,HL9962,Android,2,5/5/2023,Curitiba,3400,
40,HL2714,Tablet,1,6/25/2023,Curitiba,1600,
49,HL9962,Android,5,9/28/2023,Curitiba,3400,
61,HL1148,Câmera,1,7/8/2023,Curitiba,2100,
64,HL1148,Câmera,5,9/8/2023,Curitiba,2100,
76,HL1148,Câmera,4,7/25/2023,Curitiba,2100,
90,HL7348,SmartWatch,3,3/28/2023,Curitiba,1400,
120,HL8851,Notebook,3,9/5/2023,Curitiba,3500,
142,HL2714,Tablet,4,4/6/2023,Curitiba,1600,
174,HL7348,SmartWatch,3,5/16/2023,Curitiba,1400,
192,HL9962,Android,4,6/22/2023,Curitiba,3400,
216,HL7348,SmartWatch,2,7/19/2023,Curitiba,1400,
238,HL8851,Notebook,1,12/16/2023,Curitiba,3500,
243,HL2714,Tablet,3,5/6/2023,Curitiba,1600,
246,HL8851,Notebook,5,1/2/2023,Curitiba,3500,
259,HL9962,Android,3,6/13/2023,Curitiba,3400,
263,HL1918,iPhone,3,10/30/2023,Curitiba,5300,
269,HL7348,SmartWatch,4,8/16/2023,Curitiba,1400,
294,HL7348,SmartWatch,2,3/10/2023,Curitiba,1400,
297,HL7348,SmartWatch,1,12/21/2023,Curitiba,1400,
324,HL7348,SmartWatch,3,5/5/2023,Curitiba,1400,
333,HL1148,Câmera,2,2/15/2023,Curitiba,2100,
334,HL2714,Tablet,5,8/23/2023,Curitiba,1600,
363,HL7348,SmartWatch,4,7/22/2023,Curitiba,1400,
382,HL4379,Televisão,5,3/8/2023,Curitiba,2500,
388,HL2714,Tablet,5,7/28/2023,Curitiba,1600,
391,HL1148,Câmera,5,7/8/2023,Curitiba,2100,
396,HL1918,iPhone,5,4/24/2023,Curitiba,5300,
405,HL7348,SmartWatch,3,2/24/2023,Curitiba,1400,
409,HL8851,Notebook,3,3/19/2023,Curitiba,3500,
412,HL8851,Notebook,2,12/15/2023,Curitiba,3500,
427,HL2714,Tablet,4,1/3/2023,Curitiba,1600,
434,HL8851,Notebook,5,3/20/2023,Curitiba,3500,
450,HL1148,Câmera,5,4/16/2023,Curitiba,2100,
472,HL4379,Televisão,2,5/2/2023,Curitiba,2500,
473,HL2714,Tablet,2,4/1/2023,Curitiba,1600,
