,SKU,Produto,Quantidade,Data,Loja,Valor Unitário,Unnamed: 6
7,HL7348,SmartWatch,2,1/24/2023,Porto Alegre,1400,
67,HL9962,Android,5,2/24/2023,Porto Alegre,3400,
82,HL4379,Televisão,1,5/24/2023,Porto Alegre,2500,
88,HL7348,SmartWatch,2,3/26/2023,Porto Alegre,1400,
108,HL7348,SmartWatch,4,10/25/2023,Porto Alegre,1400,
136,HL9962,Android,5,8/5/2023,Porto Alegre,3400,
148,HL7348,SmartWatch,5,7/29/2023,Porto Alegre,1400,
154,HL8851,Notebook,2,1/7/2023,Porto Alegre,3500,
157,HL8851,Notebook,3,9/10/2023,Porto Alegre,3500,
161,HL4379,Televisão,1,3/9/2023,Porto Alegre,2500,
172,HL8851,Notebook,3,2/28/2023,Porto Alegre,3500,
178,HL1918,iPhone,1,7/8/2023,Porto Alegre,5300,
179,HL1148,Câmera,5,8/9/2023,Porto Alegre,2100,
209,HL7348,SmartWatch,1,6/16/2023,Porto Alegre,1400,
220,HL9962,Android,1,9/19/2023,Porto Alegre,3400,
228,HL2714,Tablet,5,8/20/2023,Porto Alegre,1600,
235,HL9962,Android,4,10/30/2023,Porto Alegre,3400,
236,HL2714,Tablet,4,2/26/2023,Porto Alegre,1600,
256,HL7348,SmartWatch,1,10/31/2023,Porto Alegre,1400,
265,HL2714,Tablet,4,5/12/2023,Porto Alegre,1600,
272,HL9962,Android,2,10/16/2023,Porto Alegre,3400,
279,HL7348,SmartWatch,5,11/25/2023,Porto Alegre,1400,
296,HL8851,Notebook,5,6/15/2023,Porto Alegre,3500,
298,HL7348,SmartWatch,2,2/26/2023,Porto Alegre,1400,
317,HL4379,Televisão,5,7/6/2023,Porto Alegre,2500,
329,HL8851,Notebook,5,7/6/2023,Porto Alegre,3500,
377,HL2714,Tablet,2,1/9/2023,Porto Alegre,1600,
383,HL9962,Android,2,1/5/2023,Porto Alegre,3400,
387,HL7348,SmartWatch,1,9/3/2023,Porto Alegre,1400,
389,HL1918,iPhone,4,6/1/2023,Porto Alegre,5300,
395,HL9962,Android,2,1/18/2023,Porto Alegre,3400,
419,HL1148,Câmera,4,1/23/2023,Porto Alegre,2100,
422,HL2714,Tablet,4,10/2/2023,Porto Alegre,1600,
455,HL7348,SmartWatch,4,4/23/2023,Porto Alegre,1400,
474,HL7348,SmartWatch,1,7/5/2023,Porto Alegre,1400,
482,HL7348,SmartWatch,3,2/25/2023,Porto Alegre,1400,
483,HL2714,Tablet,2,8/12/2023,Porto Alegre,1600,
