,SKU,Produto,Quantidade,Data,Loja,Valor Unitário,Unnamed: 6
26,HL8851,Notebook,5,10/2/2023,Recife,3500,
27,HL9962,Android,3,1/6/2023,Recife,3400,
29,HL2714,Tablet,3,8/30/2023,Recife,1600,
47,HL7348,SmartWatch,4,3/12/2023,Recife,1400,
78,HL2714,Tablet,2,10/18/2023,Recife,1600,
80,HL2714,Tablet,3,2/28/2023,Recife,1600,
86,HL1918,iPhone,2,7/24/2023,Recife,5300,
111,HL1918,iPhone,3,8/13/2023,Recife,5300,
130,HL2714,Tablet,2,11/15/2023,Recife,1600,
145,HL4379,Televisão,3,8/30/2023,Recife,2500,
147,HL7348,SmartWatch,4,11/3/2023,Recife,1400,
162,HL2714,Tablet,1,8/7/2023,Recife,1600,
185,HL2714,Tablet,4,4/16/2023,Recife,1600,
200,HL1918,iPhone,5,7/12/2023,Recife,5300,
210,HL7348,SmartWatch,3,6/24/2023,Recife,1400,
229,HL1148,Câmera,1,12/30/2023,Recife,2100,
268,HL9962,Android,4,4/3/2023,Recife,3400,
280,HL1918,iPhone,4,10/22/2023,Recife,5300,
285,HL2714,Tablet,2,2/25/2023,Recife,1600,
291,HL9962,Android,5,11/2/2023,Recife,3400,
303,HL7348,SmartWatch,1,11/10/2023,Recife,1400,
305,HL7348,SmartWatch,3,2/26/2023,Recife,1400,
309,HL2714,Tablet,1,8/4/2023,Recife,1600,
349,HL2714,Tablet,1,9/26/2023,Recife,1600,
364,HL7348,SmartWatch,3,4/22/2023,Recife,1400,
372,HL1148,Câmera,1,6/22/2023,Recife,2100,
420,HL2714,Tablet,2,11/21/2023,Recife,1600,
424,HL8851,Notebook,3,1/24/2023,Recife,3500,
484,HL8851,Notebook,4,1/24/2023,Recife,3500,
